Title,ImdbId
The Lives of Others (2006),tt0405094
The Living Daylights (1987),tt0093428
The Lobster (2015),tt3464902
The Mighty Ducks (1992),tt0104868
The Peanuts Movie (2015),tt2452042
The People vs. Larry Flynt (1996),tt0117318
The Place Promised in Our Early Days (2004),tt0381348
The Purge: Election Year (2016),tt4094724
The Revenant (2015),tt1663202
The Rugrats Movie (1998),tt0134067
The Secret Life of Pets (2016),tt2709768
The Simpsons Movie (2007),tt0462538
The Stoning of Soraya M. (2008),tt1277737
The Sword and the Rose (1953),tt0046387
The Tree of Life (2011),tt0478304
The Wind Rises (2013),tt2013293
The Witch (2015),tt4263482
The Woman (2011),tt1714208
Theeb‎‎ (2014),tt3170902
Timecrimes (2007),tt0480669
Toy Story 2 (1999),tt0120363
Tremors 4: The Legend Begins (2004),tt0334541
Trumbo (2015),tt3203606
Frozen (2013),tt2294629
Fullmetal Alchemist The Movie: Conqueror of Shamballa (2005),tt0485323
Fun with Dick and Jane (2005),tt0369441
Funny Games (1997),tt0119167
G-Force (2009),tt0436339
G.I. Joe: The Rise of Cobra (2009),tt1046173
Galaxy Quest (1999),tt0177789
Garden State (2004),tt0333766
George of the Jungle (1997),tt0119190
George of the Jungle 2 (2003),tt0322389
Get a Clue (2001),tt0282521
Get Him to the Greek (2010),tt1226229
Get Smart (2008),tt0425061
Get Smart's Bruce and Lloyd Out of Control (2008),tt1018723
Ghostbusters (1984),tt0087332
Ghostbusters II (1989),tt0097428
Girls for Sale (2016),tt3635300
Gnomeo & Juliet (2011),tt0377981
Godzilla (2014),tt0831387
Good Burger (1997),tt0119215
Good Bye Lenin! (2003),tt0301357
Good Luck Chuck (2007),tt0452625
Goosebumps (2015),tt1051904
Gothika (2003),tt0348836
Grand Central (2013),tt2835548
Gravity (2013),tt1454468
Grease (1978),tt0077631
Groundhog Day (1993),tt0107048
Guardians of the Galaxy (2014),tt2015381
Hackers (1995),tt0113243
"Hail, Caesar! (2016)",tt0475290
Hall Pass (2011),tt0480687
Halloweentown (1998),tt0173886
Halloweentown High (2004),tt0414078
Halloweentown II: Kalabar's Revenge (2001),tt0274761
Hannibal (2001),tt0212985
Hannibal Rising (2007),tt0367959
Happiness (1998),tt0147612
Happy Gilmore (1996),tt0116483
Hard Candy (2005),tt0424136
Hardcore Henry (2015),tt3072482
Harold & Kumar Go to White Castle (2004),tt0366551
Harold & Kumar Escape from Guantanamo Bay (2008),tt0481536
Harry Potter and the Deathly Hallows: Part 1 (2010),tt0926084
Harry Potter and the Chamber of Secrets (2002),tt0295297
Harry Potter and the Deathly Hallows: Part 2 (2011),tt1201607
Harry Potter and the Goblet of Fire (2005),tt0330373
Harry Potter and the Half-Blood Prince (2009),tt0417741
Harry Potter and the Order of the Phoenix (2007),tt0373889
Green Lantern (2011),tt1133985
Half Baked (1998),tt0120693
Halo: The Fall of Reach (2015),tt4856322
Hansel & Gretel: Witch Hunters (2013),tt1428538
Happy Feet Two (2011),tt1402488
Harmonie (2014),tt3665930
Hellboy II: The Golden Army (2008),tt0411477
Home (2015),tt2224026
Home Alone 2: Lost in New York (1992),tt0104431
Hook (1991),tt0102057
Horrible Bosses 2 (2014),tt2170439
Hot Pursuit (2015),tt2967224
Hot Tub Time Machine (2010),tt1231587
Hot Tub Time Machine 2 (2015),tt2637294
Mr. Popper's Penguins (2011),tt1396218
Naruto Shippuden the Movie: The Will of Fire (2009),tt1481363
Naruto Shippuden the Movie: The Lost Tower (2010),tt1703048
Salmon Fishing in the Yemen (2011),tt1441952
Psychic School Wars (2012),tt2399537
Norbit (2007),tt0477051
Nymphomaniac: Vol. I (2013),tt1937390
Paprika (2006),tt0851578
Permanent Midnight (1998),tt0120788
Peter Pan (2003),tt0316396
Popstar: Never Stop Never Stopping (2016),tt3960412
Mr. & Mrs. Smith (2005),tt0356910
Mr. Brooks (2007),tt0780571
Mr. Magoo (1997),tt0119718
Mr. Deeds (2002),tt0280590
Mr. Nobody (2009),tt0485947
Mulan (1998),tt0120762
Mulan II (2004),tt0279967
My Best Friend's Girl (2008),tt1046163
My Cousin Vinny (1992),tt0104952
My Girl (1991),tt0102492
My Girl 2 (1994),tt0110613
Mystery Men (1999),tt0132347
Mystery Team (2009),tt1237838
Mystic River (2003),tt0327056
National Lampoon's Vacation (1983),tt0085995
National Security (2003),tt0271668
National Treasure (2004),tt0368891
Next Friday (2000),tt0195945
Nick and Norah's Infinite Playlist (2008),tt0981227
Noah (2014),tt1959490
Non-Stop (2014),tt2024469
Norm of the North (2016),tt1594972
Now You See Me (2013),tt1670345
Oculus (2013),tt2388715
Office Space (1999),tt0151804
